Book,Chapter,Verse,Content
창세기,1,1,천지 창조 태초 하나님 천지 창조
창세기,1,2,혼돈 공허하다 흑암 깊다 하나님 영은 수면 운행
창세기,1,3,하나님
창세기,1,4,하나님 좋다 하나님 빛과 어둠 나누다
창세기,1,5,하나님 부르다 어둠 부르다 저녁 아침 첫째 날다
창세기,1,6,하나님 가운데 궁창 나뉘다
창세기,1,7,하나님 궁창 만드사 궁창 궁창 나뉘다
창세기,1,8,하나님 궁창 하늘 부르다 저녁 아침 둘째 날다
창세기,1,9,하나님 천하 물이 모이 드러나다
창세기,1,10,하나님 부르다 모이다 바다 부르다 하나님 좋다
창세기,1,11,하나님 맺다 채소 각기 종류 가지다 열매 맺다 나무 되어다
창세기,1,12,각기 종류 맺다 채소 각기 종류 가지다 열매 맺다 나무 내다 하나님 좋다
창세기,1,13,저녁 아침 날다
창세기,1,14,하나님 하늘 궁창 광명체 나뉘다 징조 계절 이루다 하라
창세기,1,15,광명체 하늘 궁창 비추다
창세기,1,16,하나님 크다 광명체 만드사 크다 광명체 주관 작다 광명체 주관 만들다
창세기,1,17,하나님 하늘 궁창 두다 비추다
창세기,1,18,주관 빛과 어둠 나뉘다 하나님 좋다
창세기,1,19,저녁 아침 넷째 날다
창세기,1,20,하나님 물들다 생물 번성 하라 하늘 궁창 날다
창세기,1,21,하나님 크다 바다 짐승 번성 움직이다 모든 생물 종류 날개 모든 종류 창조 하나님 좋다
창세기,1,22,하나님 주시 생육 번성 여러 바닷물 충만 번성
창세기,1,23,저녁 아침 날다
창세기,1,24,하나님 생물 종류 내다 가축 기다 짐승 종류
창세기,1,25,하나님 짐승 종류 가축 종류 기다 모든 종류 만들다 하나님 좋다
창세기,1,26,하나님 형상 따르다 모양 만들다 바다 물고기 하늘 가축 기다 모든 다스리다 하자
창세기,1,27,하나님 형상 하나님 형상 창조 남자 여자 창조
창세기,1,28,하나님 주시 하나님 생육 번성 충만 정복 바다 물고기 하늘 움직이다 모든 생물 다스리다
창세기,1,29,하나님 지면 맺다 모든 채소 가지다 열매 맺다 모든 나무 주노 먹다 거리
창세기,1,30,모든 짐승 하늘 모든 생명 기다 모든 모든 푸른 먹다 거리 주노
창세기,1,31,하나님 지다 모든 심하다 좋다 저녁 아침 날다
창세기,2,1,천지 만물 이루어지다
창세기,2,2,하나님 마치다 모든 안식
창세기,2,3,하나님 복되다 하사 거룩하다 하나님 창조 만들다 모든 마치다 안식
창세기,2,4,에덴 동산 천지 창조 하늘 내력 여호와 하나님 하늘 만들다
창세기,2,5,여호와 하나님 리지 갈다 들다 초목 채소 나다
창세기,2,6,안개 올라오다 지면 적다
창세기,2,7,여호와 하나님 지다 생기 불어 넣다 생령
창세기,2,8,여호와 하나님 동방 에덴 동산 창설 지다 거기 두다
창세기,2,9,여호와 하나님 아름답다 먹기 좋다 나무 나다 동산 가운데 생명 나무 선악 나무
창세기,2,10,에덴 흐르다 나오다 동산 적다 거기 갈라지다 근원 되어다
창세기,2,11,첫째 이름 비손 하윌 두르다
창세기,2,12,금은 순금 베델리엄 호마 노도
창세기,2,13,둘째 강의 이름 기혼 구스 두르다
창세기,2,14,강의 이름 힛데겔 수르 동쪽 흐르다 넷째 브라 데더
창세기,2,15,여호와 하나님 이끌다 에덴 동산 두다 경작 지키다
창세기,2,16,여호와 하나님 동산 나무 열매 임의 먹다
창세기,2,17,선악 나무 열매 먹다 말르다 먹다 죽다
창세기,2,18,여호와 하나님 살다 좋다 돕다 배필 지다
