Book,Chapter_verse,Content
창세기,1장 1절,천지 창조 태초 하나님 천지 창조
창세기,1장 2절,혼돈 공허하다 흑암 깊다 하나님 영은 수면 운행
창세기,1장 3절,하나님
창세기,1장 4절,하나님 좋다 하나님 빛과 어둠 나누다
창세기,1장 5절,하나님 부르다 어둠 부르다 저녁 아침 첫째 날다
창세기,1장 6절,하나님 가운데 궁창 나뉘다
창세기,1장 7절,하나님 궁창 만드사 궁창 궁창 나뉘다
창세기,1장 8절,하나님 궁창 하늘 부르다 저녁 아침 둘째 날다
창세기,1장 9절,하나님 천하 물이 모이 드러나다
창세기,1장 10절,하나님 부르다 모이다 바다 부르다 하나님 좋다
창세기,1장 11절,하나님 맺다 채소 각기 종류 가지다 열매 맺다 나무 되어다
창세기,1장 12절,각기 종류 맺다 채소 각기 종류 가지다 열매 맺다 나무 내다 하나님 좋다
창세기,1장 13절,저녁 아침 날다
창세기,1장 14절,하나님 하늘 궁창 광명체 나뉘다 징조 계절 이루다 하라
창세기,1장 15절,광명체 하늘 궁창 비추다
창세기,1장 16절,하나님 크다 광명체 만드사 크다 광명체 주관 작다 광명체 주관 만들다
창세기,1장 17절,하나님 하늘 궁창 두다 비추다
창세기,1장 18절,주관 빛과 어둠 나뉘다 하나님 좋다
창세기,1장 19절,저녁 아침 넷째 날다
창세기,1장 20절,하나님 물들다 생물 번성 하라 하늘 궁창 날다
창세기,1장 21절,하나님 크다 바다 짐승 번성 움직이다 모든 생물 종류 날개 모든 종류 창조 하나님 좋다
창세기,1장 22절,하나님 주시 생육 번성 여러 바닷물 충만 번성
창세기,1장 23절,저녁 아침 날다
창세기,1장 24절,하나님 생물 종류 내다 가축 기다 짐승 종류
창세기,1장 25절,하나님 짐승 종류 가축 종류 기다 모든 종류 만들다 하나님 좋다
창세기,1장 26절,하나님 형상 따르다 모양 만들다 바다 물고기 하늘 가축 기다 모든 다스리다 하자
창세기,1장 27절,하나님 형상 하나님 형상 창조 남자 여자 창조
창세기,1장 28절,하나님 주시 하나님 생육 번성 충만 정복 바다 물고기 하늘 움직이다 모든 생물 다스리다
창세기,1장 29절,하나님 지면 맺다 모든 채소 가지다 열매 맺다 모든 나무 주노 먹다 거리
